svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size
2539;4041;19592;4730;11289;7331;27839;1955;6096;11434;4597;14903;4381;13966;28;128;548;164;408;76;296
2844;3567;17602;3458;8152;4190;17371;1494;5801;10835;4535;14675;4282;13730;28;128;548;164;408;76;296
3348;3985;19050;3491;8750;4114;19476;1472;5833;10775;4570;15179;4334;13838;28;128;548;164;408;76;296
2507;3672;16955;3030;10278;4266;18270;1460;5814;10823;4576;15099;4294;13825;28;128;548;164;408;76;296
2841;4632;19899;3374;10026;4212;18461;1478;5727;10868;4574;14974;4270;13824;28;128;548;164;408;76;296
2743;3848;19173;3067;11379;4000;18078;1458;5884;10818;4578;15080;4264;13749;28;128;548;164;408;76;296
2484;3845;18723;2997;11031;4337;18600;1453;5904;10809;4559;14466;4272;13790;28;128;548;164;408;76;296
2638;3494;17267;3149;7415;3983;17756;1453;5871;10891;4540;14843;4287;13764;28;128;548;164;408;76;296
3863;3762;17625;3146;9268;4141;19774;1475;5828;10908;4559;14967;4239;13801;28;128;548;164;408;76;296
2654;3727;17025;3938;8211;4225;16939;1479;5856;10884;4551;14790;4273;13796;28;128;548;164;408;76;296
3007;4982;18883;3009;11374;4126;18349;1448;5854;10844;4514;15116;4253;13778;28;128;548;164;408;76;296
2676;3662;18765;3439;10155;4043;18256;1456;5852;10793;4588;14744;4299;13713;28;128;548;164;408;76;296
2688;3476;18138;3193;10853;3973;20263;1479;5758;10830;4537;14539;4304;13719;28;128;548;164;408;76;296
2560;3661;17566;2967;8409;4061;18052;1483;5779;10848;4499;15028;4258;13820;28;128;548;164;408;76;296
3463;3464;17127;3259;8506;4361;18991;1461;5849;10798;4533;14997;4256;13955;28;128;548;164;408;76;296
2964;4817;18892;2989;10045;4197;18458;1515;5804;10839;4535;14918;4284;13729;28;128;548;164;408;76;296
2914;3604;16847;3412;8489;6790;16794;1494;5807;11000;4505;14804;4267;13897;28;128;548;164;408;76;296
2846;3512;16079;3740;8546;4132;18702;1441;5845;10881;4636;14983;4314;14031;28;128;548;164;408;76;296
2946;3463;16906;3682;8983;5058;19191;1457;5819;11241;4525;15479;4372;14340;28;128;548;164;408;76;296
2835;3793;18264;2652;9908;5810;18907;1540;5771;11262;4540;14725;4390;13727;28;128;548;164;408;76;296
4573;3898;14646;3140;10398;3938;19036;1471;5984;10925;4532;14623;4254;13807;28;128;548;164;408;76;296
2575;5087;19042;3146;11514;4615;19604;1488;5810;10812;4560;14743;4313;13963;28;128;548;164;408;76;296
2854;3758;18632;3002;9080;4201;19492;1483;5830;10781;4576;14688;4232;13746;28;128;548;164;408;76;296
2850;3500;18249;2992;8462;4297;19495;1477;5834;10917;4519;14692;4306;13745;28;128;548;164;408;76;296
2918;4976;18882;3314;11602;4402;17862;1498;5799;10817;4528;14843;4244;13756;28;128;548;164;408;76;296
2910;3563;17137;3105;8900;7243;17634;1431;5760;10889;4466;15047;4271;13838;28;128;548;164;408;76;296
2971;3797;19435;2978;8716;4128;18055;1453;5809;10796;4493;14966;4258;13814;28;128;548;164;408;76;296
2482;3672;17359;2969;8968;4397;17504;1464;5848;10824;4573;14628;4361;13792;28;128;548;164;408;76;296
2839;4552;17615;3337;12214;4089;19224;1634;5842;10889;4509;14718;4281;13858;28;128;548;164;408;76;296
2832;4932;18082;2846;12183;4057;19806;1463;5790;10788;4553;14868;4275;13733;28;128;548;164;408;76;296
2418;3775;17063;3859;9163;4052;18469;1461;5851;10930;4562;14488;4300;13823;28;128;548;164;408;76;296
2661;3656;17335;3258;8589;5819;18027;1433;5799;10831;4494;15055;4259;13733;28;128;548;164;408;76;296
2776;3517;18725;3077;9200;4487;16989;1449;5811;10847;4511;15290;4257;13834;28;128;548;164;408;76;296
3002;3906;18612;3371;8197;7493;17734;1451;5815;10885;4520;15327;4336;13822;28;128;548;164;408;76;296
2898;3527;19833;3213;7319;5447;18410;1470;5813;10898;4552;14618;4362;13928;28;128;548;164;408;76;296
2602;4483;21908;2934;10052;4347;18905;1478;5757;10868;4569;15407;4286;13735;28;128;548;164;408;76;296
2641;3618;17487;3388;8623;3880;17666;1476;5772;10811;4560;14997;4271;13746;28;128;548;164;408;76;296
2844;3975;18247;3271;8377;6187;19661;1454;5821;10840;4535;14669;4257;13777;28;128;548;164;408;76;296
2956;4847;18278;2982;10768;4177;18621;1451;5812;10841;4530;15072;4304;13801;28;128;548;164;408;76;296
2979;3531;18357;3656;11954;4136;19169;1443;5838;10965;4593;14721;4289;13908;28;128;548;164;408;76;296
